time,avg,max,med,min,q25,q75,std,num_peaks,peak_prominence,peak_distance,exercise,pace,sensor_type
2024-12-09 13:37:00,"0   -0.016274
Name: avg, dtype: float64","0    0.18381
Name: max, dtype: float64","0   -0.036996
Name: med, dtype: float64","0   -0.131925
Name: min, dtype: float64","0   -0.078653
Name: q25, dtype: float64","0    0.031292
Name: q75, dtype: float64","0    0.082897
Name: std, dtype: float64","0    75.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    41.202703
Name: peak_distance, dtype: float64",exercise 1,correct,accelerometer
2024-12-09 13:36:34,"0   -0.004634
Name: avg, dtype: float64","0    0.054396
Name: max, dtype: float64","0   -0.005362
Name: med, dtype: float64","0   -0.071687
Name: min, dtype: float64","0   -0.021001
Name: q25, dtype: float64","0    0.0142
Name: q75, dtype: float64","0    0.029648
Name: std, dtype: float64","0    60.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    51.745763
Name: peak_distance, dtype: float64",exercise 1,correct,gyroscope
2024-12-09 13:36:36,"0   -0.046545
Name: avg, dtype: float64","0    0.154931
Name: max, dtype: float64","0   -0.06757
Name: med, dtype: float64","0   -0.104929
Name: min, dtype: float64","0   -0.083729
Name: q25, dtype: float64","0   -0.039728
Name: q75, dtype: float64","0    0.062309
Name: std, dtype: float64","0    60.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    51.745763
Name: peak_distance, dtype: float64",exercise 1,correct,gyroscope
2024-12-09 13:36:38,"0    0.072852
Name: avg, dtype: float64","0    0.236228
Name: max, dtype: float64","0    0.082098
Name: med, dtype: float64","0   -0.082824
Name: min, dtype: float64","0    0.018178
Name: q25, dtype: float64","0    0.127055
Name: q75, dtype: float64","0    0.081487
Name: std, dtype: float64","0    60.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    51.745763
Name: peak_distance, dtype: float64",exercise 1,correct,gyroscope
2024-12-09 13:36:40,"0   -0.013541
Name: avg, dtype: float64","0    0.092527
Name: max, dtype: float64","0   -0.020212
Name: med, dtype: float64","0   -0.087856
Name: min, dtype: float64","0   -0.038919
Name: q25, dtype: float64","0    0.020789
Name: q75, dtype: float64","0    0.04003
Name: std, dtype: float64","0    60.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    51.745763
Name: peak_distance, dtype: float64",exercise 1,correct,gyroscope
2024-12-09 13:36:42,"0    0.031305
Name: avg, dtype: float64","0    0.198614
Name: max, dtype: float64","0    0.030048
Name: med, dtype: float64","0   -0.09031
Name: min, dtype: float64","0   -0.057834
Name: q25, dtype: float64","0    0.090811
Name: q75, dtype: float64","0    0.086669
Name: std, dtype: float64","0    60.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    51.745763
Name: peak_distance, dtype: float64",exercise 1,correct,gyroscope
2024-12-09 13:36:44,"0   -0.066335
Name: avg, dtype: float64","0   -0.034614
Name: max, dtype: float64","0   -0.064339
Name: med, dtype: float64","0   -0.104348
Name: min, dtype: float64","0   -0.081336
Name: q25, dtype: float64","0   -0.051095
Name: q75, dtype: float64","0    0.018942
Name: std, dtype: float64","0    60.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    51.745763
Name: peak_distance, dtype: float64",exercise 1,correct,gyroscope
2024-12-09 13:36:46,"0   -0.054386
Name: avg, dtype: float64","0    0.102435
Name: max, dtype: float64","0   -0.08163
Name: med, dtype: float64","0   -0.104327
Name: min, dtype: float64","0   -0.087862
Name: q25, dtype: float64","0   -0.048399
Name: q75, dtype: float64","0    0.054841
Name: std, dtype: float64","0    60.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    51.745763
Name: peak_distance, dtype: float64",exercise 1,correct,gyroscope
2024-12-09 13:36:48,"0   -0.005295
Name: avg, dtype: float64","0    0.122156
Name: max, dtype: float64","0   -0.019968
Name: med, dtype: float64","0   -0.073132
Name: min, dtype: float64","0   -0.04924
Name: q25, dtype: float64","0    0.040454
Name: q75, dtype: float64","0    0.055219
Name: std, dtype: float64","0    60.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    51.745763
Name: peak_distance, dtype: float64",exercise 1,correct,gyroscope
2024-12-09 13:36:52,"0   -0.017304
Name: avg, dtype: float64","0    0.138116
Name: max, dtype: float64","0   -0.032898
Name: med, dtype: float64","0   -0.095759
Name: min, dtype: float64","0   -0.054036
Name: q25, dtype: float64","0   -0.010854
Name: q75, dtype: float64","0    0.056986
Name: std, dtype: float64","0    60.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    51.745763
Name: peak_distance, dtype: float64",exercise 1,correct,gyroscope
2024-12-09 13:36:54,"0    0.004153
Name: avg, dtype: float64","0    0.108939
Name: max, dtype: float64","0   -0.009865
Name: med, dtype: float64","0   -0.099031
Name: min, dtype: float64","0   -0.040859
Name: q25, dtype: float64","0    0.058749
Name: q75, dtype: float64","0    0.060567
Name: std, dtype: float64","0    60.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    51.745763
Name: peak_distance, dtype: float64",exercise 1,correct,gyroscope
2024-12-09 13:36:56,"0   -0.043679
Name: avg, dtype: float64","0    0.048565
Name: max, dtype: float64","0   -0.054332
Name: med, dtype: float64","0   -0.102013
Name: min, dtype: float64","0   -0.082908
Name: q25, dtype: float64","0   -0.015196
Name: q75, dtype: float64","0    0.040139
Name: std, dtype: float64","0    60.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    51.745763
Name: peak_distance, dtype: float64",exercise 1,correct,gyroscope
2024-12-09 13:36:58,"0    0.086323
Name: avg, dtype: float64","0    0.212489
Name: max, dtype: float64","0    0.084416
Name: med, dtype: float64","0   -0.064962
Name: min, dtype: float64","0    0.047806
Name: q25, dtype: float64","0    0.12331
Name: q75, dtype: float64","0    0.066769
Name: std, dtype: float64","0    60.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    51.745763
Name: peak_distance, dtype: float64",exercise 1,correct,gyroscope
2024-12-09 13:37:00,"0    0.075583
Name: avg, dtype: float64","0    0.20188
Name: max, dtype: float64","0    0.090717
Name: med, dtype: float64","0   -0.080993
Name: min, dtype: float64","0   -0.01101
Name: q25, dtype: float64","0    0.160459
Name: q75, dtype: float64","0    0.088785
Name: std, dtype: float64","0    60.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    51.745763
Name: peak_distance, dtype: float64",exercise 1,correct,gyroscope
2024-12-10 17:17:52,"0    0.104672
Name: avg, dtype: float64","0    0.382756
Name: max, dtype: float64","0    0.076724
Name: med, dtype: float64","0   -0.118241
Name: min, dtype: float64","0    0.019397
Name: q25, dtype: float64","0    0.19748
Name: q75, dtype: float64","0    0.125606
Name: std, dtype: float64","0    101.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    37.43
Name: peak_distance, dtype: float64",exercise 1,correct,accelerometer
2024-12-10 17:17:54,"0    0.167874
Name: avg, dtype: float64","0    0.55999
Name: max, dtype: float64","0    0.155878
Name: med, dtype: float64","0   -0.02145
Name: min, dtype: float64","0    0.081425
Name: q25, dtype: float64","0    0.226868
Name: q75, dtype: float64","0    0.122057
Name: std, dtype: float64","0    101.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    37.43
Name: peak_distance, dtype: float64",exercise 1,correct,accelerometer
2024-12-10 17:17:56,"0   -0.015952
Name: avg, dtype: float64","0    0.112543
Name: max, dtype: float64","0   -0.024253
Name: med, dtype: float64","0   -0.104748
Name: min, dtype: float64","0   -0.058972
Name: q25, dtype: float64","0    0.020516
Name: q75, dtype: float64","0    0.055016
Name: std, dtype: float64","0    101.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    37.43
Name: peak_distance, dtype: float64",exercise 1,correct,accelerometer
2024-12-10 17:17:58,"0    0.011098
Name: avg, dtype: float64","0    0.121507
Name: max, dtype: float64","0    0.007968
Name: med, dtype: float64","0   -0.093168
Name: min, dtype: float64","0   -0.027429
Name: q25, dtype: float64","0    0.050356
Name: q75, dtype: float64","0    0.050895
Name: std, dtype: float64","0    101.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    37.43
Name: peak_distance, dtype: float64",exercise 1,correct,accelerometer
2024-12-10 17:18:00,"0   -0.008116
Name: avg, dtype: float64","0    0.170939
Name: max, dtype: float64","0   -0.025298
Name: med, dtype: float64","0   -0.109392
Name: min, dtype: float64","0   -0.055346
Name: q25, dtype: float64","0    0.025084
Name: q75, dtype: float64","0    0.068928
Name: std, dtype: float64","0    101.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    37.43
Name: peak_distance, dtype: float64",exercise 1,correct,accelerometer
2024-12-10 17:18:02,"0    0.019073
Name: avg, dtype: float64","0    0.339208
Name: max, dtype: float64","0    0.009712
Name: med, dtype: float64","0   -0.115741
Name: min, dtype: float64","0   -0.046648
Name: q25, dtype: float64","0    0.049937
Name: q75, dtype: float64","0    0.098356
Name: std, dtype: float64","0    101.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    37.43
Name: peak_distance, dtype: float64",exercise 1,correct,accelerometer
2024-12-10 17:18:04,"0    0.009053
Name: avg, dtype: float64","0    0.162932
Name: max, dtype: float64","0   -0.00796
Name: med, dtype: float64","0   -0.113864
Name: min, dtype: float64","0   -0.050827
Name: q25, dtype: float64","0    0.057124
Name: q75, dtype: float64","0    0.073556
Name: std, dtype: float64","0    101.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    37.43
Name: peak_distance, dtype: float64",exercise 1,correct,accelerometer
2024-12-10 17:18:06,"0   -0.022077
Name: avg, dtype: float64","0    0.189728
Name: max, dtype: float64","0   -0.030068
Name: med, dtype: float64","0   -0.128384
Name: min, dtype: float64","0   -0.073662
Name: q25, dtype: float64","0    0.010982
Name: q75, dtype: float64","0    0.069638
Name: std, dtype: float64","0    101.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    37.43
Name: peak_distance, dtype: float64",exercise 1,correct,accelerometer
2024-12-10 17:18:08,"0   -0.096086
Name: avg, dtype: float64","0    0.079613
Name: max, dtype: float64","0   -0.107747
Name: med, dtype: float64","0   -0.138833
Name: min, dtype: float64","0   -0.121241
Name: q25, dtype: float64","0   -0.085962
Name: q75, dtype: float64","0    0.042264
Name: std, dtype: float64","0    101.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    37.43
Name: peak_distance, dtype: float64",exercise 1,correct,accelerometer
2024-12-10 17:18:10,"0   -0.107879
Name: avg, dtype: float64","0   -0.072365
Name: max, dtype: float64","0   -0.10844
Name: med, dtype: float64","0   -0.135084
Name: min, dtype: float64","0   -0.11931
Name: q25, dtype: float64","0   -0.098227
Name: q75, dtype: float64","0    0.015125
Name: std, dtype: float64","0    101.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    37.43
Name: peak_distance, dtype: float64",exercise 1,correct,accelerometer
2024-12-10 17:18:12,"0   -0.035317
Name: avg, dtype: float64","0    0.190026
Name: max, dtype: float64","0   -0.048671
Name: med, dtype: float64","0   -0.138356
Name: min, dtype: float64","0   -0.116455
Name: q25, dtype: float64","0    0.017533
Name: q75, dtype: float64","0    0.085199
Name: std, dtype: float64","0    101.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    37.43
Name: peak_distance, dtype: float64",exercise 1,correct,accelerometer
2024-12-10 17:18:14,"0   -0.002878
Name: avg, dtype: float64","0    0.211765
Name: max, dtype: float64","0   -0.010146
Name: med, dtype: float64","0   -0.142158
Name: min, dtype: float64","0   -0.040116
Name: q25, dtype: float64","0    0.034179
Name: q75, dtype: float64","0    0.067698
Name: std, dtype: float64","0    101.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    37.43
Name: peak_distance, dtype: float64",exercise 1,correct,accelerometer
2024-12-10 17:18:16,"0   -0.045264
Name: avg, dtype: float64","0    0.072118
Name: max, dtype: float64","0   -0.044348
Name: med, dtype: float64","0   -0.138343
Name: min, dtype: float64","0   -0.093238
Name: q25, dtype: float64","0   -0.007975
Name: q75, dtype: float64","0    0.053999
Name: std, dtype: float64","0    101.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    37.43
Name: peak_distance, dtype: float64",exercise 1,correct,accelerometer
