time,seconds_elapsed,z,y,x
1733851528999237400,0.0122373046875,0.016948090866208076,0.07333626598119736,-0.05318598821759224
1733851529009206300,0.022206298828125,0.019209647551178932,0.11812051385641098,-0.05095585808157921
1733851529019174400,0.03217431640625,0.027160247787833214,0.15924584865570068,-0.04694673418998718
1733851529029142300,0.042142333984375,0.03596652299165726,0.2249729335308075,-0.025439845398068428
1733851529039111400,0.052111328125,0.026802053675055504,0.26818057894706726,-0.008139153011143208
1733851529049079300,0.062079345703125,0.00615270109847188,0.24555703997612,0.0033963292371481657
1733851529059047200,0.072047119140625,-0.009148756973445415,0.19037100672721863,0.006642189808189869
1733851529069016300,0.082016357421875,-0.0132699990645051,0.16329704225063324,0.002665291540324688
1733851529078984200,0.091984130859375,-0.015476161614060402,0.15903998911380768,-0.0008117315010167658
1733851529088952000,0.1019521484375,-0.0191997941583395,0.12081989645957947,-0.010271811857819557
1733851529098921000,0.1119208984375,-0.0031726236920803785,0.07217565923929214,-0.018028268590569496
1733851529108889000,0.12188916015625,0.013978133909404278,0.06081381440162659,-0.026137061417102814
1733851529118857200,0.131857177734375,0.020116453990340233,0.07680875808000565,-0.030972296372056007
1733851529128826000,0.141826171875,0.018206967040896416,0.11899003386497498,-0.03728558495640755
1733851529138794000,0.1517939453125,0.0020927118603140116,0.17386020720005035,-0.044498756527900696
1733851529148763000,0.161762939453125,-0.02207520790398121,0.2208937704563141,-0.0506056547164917
1733851529158731000,0.17173095703125,-0.04275971278548241,0.22603872418403625,-0.0538022443652153
1733851529168699100,0.18169921875,-0.05131405219435692,0.19901350140571594,-0.05523822084069252
1733851529178668000,0.19166796875,-0.049131594598293304,0.1661306470632553,-0.058104582130908966
1733851529188636200,0.20163623046875,-0.04742823541164398,0.14135925471782684,-0.06335233896970749
1733851529198604000,0.21160400390625,-0.048656217753887177,0.12209874391555786,-0.06525064259767532
1733851529208573200,0.2215732421875,-0.05284270644187927,0.10456182807683945,-0.06670179963111877
1733851529218541000,0.231541015625,-0.055024102330207825,0.0939725711941719,-0.0636889636516571
1733851529228509000,0.241509033203125,-0.0547010637819767,0.08766007423400879,-0.05619935691356659
1733851529238477800,0.251477783203125,-0.053518086671829224,0.08507814258337021,-0.055196940898895264
1733851529248446000,0.261446044921875,-0.05209542438387871,0.08584992587566376,-0.061700914055109024
1733851529258415000,0.2714150390625,-0.04957607388496399,0.08111429214477539,-0.06724242120981216
1733851529268383000,0.281383056640625,-0.05161712318658829,0.08389197289943695,-0.06492333859205246
1733851529278351000,0.29135107421875,-0.05416310206055641,0.10225632786750793,-0.06570124626159668
1733851529288320000,0.301320068359375,-0.0588686428964138,0.11939776688814163,-0.07190215587615967
1733851529298288000,0.3112880859375,-0.06263461709022522,0.11230336874723434,-0.06949625164270401
1733851529308256300,0.32125634765625,-0.06371159851551056,0.09846478700637817,-0.06365088373422623
1733851529318225200,0.33122509765625,-0.05928569287061691,0.09862510859966278,-0.06106735020875931
1733851529328193000,0.341193115234375,-0.05495486035943031,0.10649208724498749,-0.06462213397026062
1733851529338161000,0.351160888671875,-0.04952733963727951,0.10482468456029892,-0.06476061791181564
1733851529348130000,0.361130126953125,-0.04724820703268051,0.09343354403972626,-0.06339015811681747
1733851529358098000,0.371097900390625,-0.04566788673400879,0.06997589021921158,-0.06185537949204445
1733851529368066000,0.381066162109375,-0.04327823221683502,0.059426575899124146,-0.061953913420438766
1733851529378035000,0.391034912109375,-0.0451325923204422,0.06923633068799973,-0.05632692202925682
1733851529388003000,0.401003173828125,-0.050765976309776306,0.09139356017112732,-0.04740826040506363
1733851529397972200,0.41097216796875,-0.05843161791563034,0.1019013300538063,-0.035768382251262665
1733851529407940000,0.420940185546875,-0.06752844154834747,0.09874042868614197,-0.02905348874628544
1733851529417908000,0.430907958984375,-0.0717729926109314,0.08283895999193192,-0.02805081009864807
1733851529427876900,0.440876953125,-0.07034793496131897,0.05452502891421318,-0.03278271481394768
1733851529437845000,0.450844970703125,-0.06549272686243057,0.018802715465426445,-0.03283624351024628
1733851529447813000,0.460813232421875,-0.06034856289625168,-0.01384257897734642,-0.02719060890376568
1733851529457782000,0.470781982421875,-0.05572132021188736,-0.03268817067146301,-0.014535000547766685
1733851529467750100,0.480750244140625,-0.04453231394290924,-0.033306289464235306,-0.0020815266761928797
1733851529477718000,0.490718017578125,-0.03580380231142044,-0.016948889940977097,0.014278272166848183
1733851529487687200,0.500687255859375,-0.0273852851241827,0.012489160522818565,0.03074752539396286
1733851529497655000,0.510655029296875,-0.027891019359230995,0.04482446238398552,0.038843270391225815
1733851529507623000,0.520622802734375,-0.036488767713308334,0.06402292102575302,0.03909813240170479
1733851529517592000,0.530592041015625,-0.05847715958952904,0.07606440782546997,0.02660391293466091
1733851529527560000,0.540559814453125,-0.08435855805873871,0.08129991590976715,0.01918621174991131
1733851529537528000,0.550528076171875,-0.10785829275846481,0.08806807547807693,0.02099396474659443
1733851529547497000,0.5604970703125,-0.12350862473249435,0.1146932914853096,0.023742614313960075
1733851529557465000,0.570465087890625,-0.13816852867603302,0.15100735425949097,0.03772953525185585
1733851529567434000,0.58043408203125,-0.1469966322183609,0.16992352902889252,0.05658205226063728
1733851529577402000,0.590402099609375,-0.14457076787948608,0.1629532277584076,0.08295533806085587
1733851529587370000,0.600369873046875,-0.13724254071712494,0.15533393621444702,0.10581298172473907
1733851529597339100,0.610339111328125,-0.1254577934741974,0.17645946145057678,0.11192227154970169
1733851529607307000,0.62030712890625,-0.11692502349615097,0.21246112883090973,0.104063019156456
