time,seconds_elapsed,z,y,x
1733902470766807800,0.022807861328125,0.01912553980946541,-0.5238695740699768,-0.4139573872089386
1733902470776834800,0.032834716796875,0.036982033401727676,-0.4895155727863312,-0.4532768428325653
1733902470786860800,0.04286083984375,0.035949062556028366,-0.4157436490058899,-0.4758943021297455
1733902470796887600,0.052887451171875,-0.022960858419537544,-0.24866436421871185,-0.5664045214653015
1733902470806914800,0.062914794921875,-0.12183175981044769,-0.06850620359182358,-0.5904046893119812
1733902470816940800,0.07294091796875,-0.27850818634033203,0.1119123101234436,-0.5558523535728455
1733902470826967800,0.0829677734375,-0.39261332154273987,0.2676056921482086,-0.45429757237434387
1733902470836994600,0.09299462890625,-0.5025044083595276,0.3214572072029114,-0.3152501881122589
1733902470847020500,0.1030205078125,-0.6667640805244446,0.36966678500175476,-0.18817678093910217
1733902470857047800,0.1130478515625,-0.9180170893669128,0.3979226350784302,-0.04647716507315636
1733902470867074800,0.12307470703125,-1.1661443710327148,0.3677341043949127,0.11364380270242691
1733902470877100800,0.133100830078125,-1.3496267795562744,0.37258532643318176,0.2641856372356415
1733902470887127600,0.14312744140625,-1.486720323562622,0.4890860617160797,0.34317895770072937
1733902470897154800,0.15315478515625,-1.55666184425354,0.6453058123588562,0.3279712498188019
1733902470907180800,0.163180908203125,-1.6067521572113037,0.7375385761260986,0.2331138551235199
1733902470917207800,0.173207763671875,-1.6265407800674438,0.8095738887786865,0.061265669763088226
1733902470927234600,0.183234619140625,-1.6412746906280518,0.7573255896568298,-0.12278109043836594
1733902470937261800,0.19326171875,-1.5508004426956177,0.6141812205314636,-0.27419590950012207
1733902470947287800,0.203287841796875,-1.3774229288101196,0.2568224370479584,-0.38023126125335693
1733902470957314800,0.213314697265625,-1.3154010772705078,-0.4678945541381836,-0.5203380584716797
1733902470967341600,0.223341552734375,-1.36228346824646,-1.2417742013931274,-0.6625699400901794
1733902470977367600,0.233367431640625,-1.5577325820922852,-1.5010018348693848,-0.7213495969772339
1733902470987394800,0.243394775390625,-1.7586323022842407,-1.1030784845352173,-0.686309814453125
