time,seconds_elapsed,z,y,x
1733901970825239300,0.0252392578125,-0.025642186403274536,-0.15128543972969055,-0.5907073020935059
1733901970835265300,0.035265380859375,0.005975203588604927,-0.10356789082288742,-0.5987755656242371
1733901970845292300,0.045292236328125,0.03968070447444916,-0.10769551992416382,-0.6174211502075195
1733901970855319300,0.0553193359375,0.08607906103134155,-0.1506890505552292,-0.6185847520828247
1733901970865346300,0.06534619140625,0.11825910210609436,-0.1824512481689453,-0.6143961548805237
1733901970875372300,0.075372314453125,0.1409023553133011,-0.20002450048923492,-0.607967734336853
1733901970885399300,0.0853994140625,0.14010420441627502,-0.2650591731071472,-0.6176145076751709
1733901970895426300,0.09542626953125,0.14100956916809082,-0.36733007431030273,-0.6375328898429871
1733901970905452300,0.105452392578125,0.14921237528324127,-0.5632314085960388,-0.6688506007194519
1733901970915479300,0.115479248046875,0.17769354581832886,-0.6981149315834045,-0.6756608486175537
1733901970925506000,0.125506103515625,0.25283411145210266,-0.6872955560684204,-0.6529574394226074
1733901970935532300,0.1355322265625,0.3544279634952545,-0.6383599042892456,-0.6149806380271912
1733901970945559300,0.145559326171875,0.46180182695388794,-0.652897834777832,-0.5645039081573486
1733901970955586300,0.15558642578125,0.5623316764831543,-0.6512506008148193,-0.530479907989502
1733901970965612300,0.1656123046875,0.6119969487190247,-0.6433588266372681,-0.482084721326828
1733901970975639300,0.175639404296875,0.5789652466773987,-0.5600215196609497,-0.3876524269580841
1733901970985666300,0.185666259765625,0.484529584646225,-0.4612925052642822,-0.28331562876701355
1733901970995693300,0.195693359375,0.38396355509757996,-0.45504698157310486,-0.20452065765857697
1733901971005719300,0.20571923828125,0.2875584661960602,-0.5342544317245483,-0.161535382270813
1733901971015746000,0.21574609375,0.2059668004512787,-0.6608449220657349,-0.12911482155323029
1733901971025773300,0.225773193359375,0.1484646201133728,-0.8311415314674377,-0.09491236507892609
1733901971035799300,0.23579931640625,0.11151336133480072,-0.9843258857727051,-0.06630799174308777
1733901971045826300,0.245826416015625,0.07107724994421005,-1.1371026039123535,-0.04714947193861008
1733901971055853000,0.25585302734375,0.03306311368942261,-1.2900655269622803,-0.03340941667556763
1733901971065879300,0.26587939453125,0.018442627042531967,-1.4531795978546143,0.007115373853594065
1733901971075906300,0.27590625,0.04214831814169884,-1.580235242843628,0.07436919212341309
1733901971085933300,0.285933349609375,0.15439124405384064,-1.6072708368301392,0.1391785442829132
1733901971095959300,0.295959228515625,0.34676650166511536,-1.474105954170227,0.17788469791412354
1733901971105986000,0.305986083984375,0.5257663130760193,-1.286069393157959,0.17566628754138947
1733901971116013300,0.316013427734375,0.6095738410949707,-1.0098122358322144,0.1197347640991211
1733901971126040300,0.326040283203125,0.5851017832756042,-0.795486330986023,0.008401314727962017
1733901971136066300,0.33606640625,0.47696876525878906,-0.6759689450263977,-0.14603830873966217
1733901971146093000,0.346093017578125,0.3564484715461731,-0.7083649635314941,-0.2836473286151886
1733901971156120300,0.356120361328125,0.26756617426872253,-0.755905270576477,-0.32939910888671875
1733901971166146300,0.366146240234375,0.23197197914123535,-0.8139616847038269,-0.2650880515575409
1733901971176173300,0.37617333984375,0.18977227807044983,-0.897618293762207,-0.12311632931232452
1733901971186200000,0.386199951171875,0.16054221987724304,-1.091497540473938,0.05430293455719948
1733901971196227300,0.396227294921875,0.17021715641021729,-1.3807317018508911,0.2454555332660675
1733901971206253300,0.40625341796875,0.14584124088287354,-1.5778194665908813,0.39112910628318787
1733901971216280300,0.4162802734375,0.06084324046969414,-1.708847165107727,0.4644944667816162
1733901971226307000,0.42630712890625,-0.035614319145679474,-1.7752048969268799,0.5008021593093872
1733901971236333000,0.4363330078125,-0.08349777013063431,-1.7639414072036743,0.5398213863372803
1733901971246360300,0.4463603515625,-0.013082988560199738,-1.7687705755233765,0.5952308177947998
1733901971256387300,0.45638720703125,0.16549639403820038,-1.8119770288467407,0.6631388068199158
1733901971266413300,0.466413330078125,0.4035784602165222,-1.8588111400604248,0.7311601638793945
1733901971276440000,0.476440185546875,0.6350101232528687,-1.7581181526184082,0.7662398219108582
1733901971286467300,0.48646728515625,0.8734756708145142,-1.5211082696914673,0.6339377164840698
1733901971296493300,0.496493408203125,1.021467685699463,-1.1199634075164795,0.25009357929229736
1733901971306520300,0.506520263671875,1.1206609010696411,-1.0503220558166504,-0.06336396187543869
1733901971316547000,0.516547119140625,1.2628732919692993,-1.1063629388809204,-0.3202424943447113
1733901971326574300,0.52657421875,1.4587339162826538,-1.4262412786483765,-0.5313472747802734
1733901971336600300,0.536600341796875,1.6039942502975464,-1.8375239372253418,-0.7072416543960571
1733901971346627300,0.54662744140625,1.6732563972473145,-2.2464847564697266,-0.8852097988128662
1733901971356654000,0.556654052734375,1.705659031867981,-2.7297580242156982,-1.0318443775177002
1733901971366680000,0.56668017578125,1.6946402788162231,-3.1351025104522705,-1.1371513605117798
1733901971376707300,0.576707275390625,1.680799961090088,-3.3839972019195557,-1.1724015474319458
1733901971386734300,0.586734375,1.728873372077942,-3.450016736984253,-1.1629984378814697
1733901971396761000,0.596760986328125,1.7596921920776367,-3.206785202026367,-1.082535982131958
1733901971406787000,0.606787109375,1.7200524806976318,-2.7764477729797363,-0.9368618726730347
1733901971416814300,0.616814453125,1.670141339302063,-2.4499783515930176,-0.773903489112854
1733901971426841300,0.62684130859375,1.5666301250457764,-2.271857976913452,-0.6022603511810303
1733901971436867300,0.636867431640625,1.4016265869140625,-2.1067075729370117,-0.41895467042922974
